site_code,n_nodes,node,matrix_col,parent_site,child_num,MPG,POP_NAME,TRT_POPID
UGS,3,UGS_U,116,UGR,2,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
GRANDW,1,GRANDW,117,UGS,1,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
IR1,1,IR1,118,GRA,12,Imnaha River,Imnaha River,IRMAI-s
IR2,1,IR2,119,IR1,1,Imnaha River,Imnaha River,IRMAI-s
HORS3C,1,HORS3C,120,IR2,1,Imnaha River,Imnaha River,IRMAI-s
CAMP4C,1,CAMP4C,121,CMP,1,Imnaha River,Imnaha River,IRMAI-s
CMP,2,CMP_D,122,IR2,2,Imnaha River,Imnaha River,IRMAI-s
CMP,2,CMP_U,123,IR2,2,Imnaha River,Imnaha River,IRMAI-s
BSC,2,BSC_D,124,IR2,3,Imnaha River,Imnaha River,IRMAI-s
BSC,2,BSC_U,125,IR2,3,Imnaha River,Imnaha River,IRMAI-s
IR3,2,IR3_D,126,IR2,4,Imnaha River,Imnaha River,IRMAI-s
IR3,2,IR3_U,127,IR2,4,Imnaha River,Imnaha River,IRMAI-s
LSHEEF,1,LSHEEF,128,IR2,5,Imnaha River,Imnaha River,IRMAI-s
FREEZC,1,FREEZC,129,IR3,1,Imnaha River,Imnaha River,IRMAI-s
GCM,2,GCM_D,130,IR3,2,Imnaha River,Imnaha River,IRMAI-s
GCM,2,GCM_U,131,IR3,2,Imnaha River,Imnaha River,IRMAI-s
CZY,2,CZY_D,132,IR3,3,Imnaha River,Imnaha River,IRMAI-s
CZY,2,CZY_U,133,IR3,3,Imnaha River,Imnaha River,IRMAI-s
MAHOGC,1,MAHOGC,134,IR3,4,Imnaha River,Imnaha River,IRMAI-s
IML,2,IML_D,135,IR4,1,Imnaha River,Imnaha River,IRMAI-s
IML,2,IML_U,136,IR4,1,Imnaha River,Imnaha River,IRMAI-s
IMNAHW,1,IMNAHW,137,IML,1,Imnaha River,Imnaha River,IRMAI-s
IR4,2,IR4_D,138,IR3,5,Imnaha River,Imnaha River,IRMAI-s
IR4,2,IR4_U,139,IR3,5,Imnaha River,Imnaha River,IRMAI-s
IR5,2,IR5_D,140,IMNAHW,1,Imnaha River,Imnaha River,IRMAI-s
IR5,2,IR5_U,141,IMNAHW,1,Imnaha River,Imnaha River,IRMAI-s
GUMBTC,1,GUMBTC,142,IR5,1,Imnaha River,Imnaha River,IRMAI-s
DRY2C,1,DRY2C,143,IR5,2,Imnaha River,Imnaha River,IRMAI-s
COC,2,COC_D,144,GRA,11,Imnaha River,Imnaha River,IRMAI-s
COC,2,COC_U,145,GRA,11,Imnaha River,Imnaha River,IRMAI-s
OXBO,1,OXBO,146,GRA,13,Hells Canyon,Hells Canyon,SNHCT-s
WB1,2,WB1_D,147,GRA,20,Salmon River,Little Salmon and Rapid River,SRLSR-s
WB1,2,WB1_U,148,GRA,20,Salmon River,Little Salmon and Rapid River,SRLSR-s
RAPH,1,RAPH,149,GRA,24,Salmon River,Little Salmon and Rapid River,SRLSR-s
SFG,1,SFG,150,GRA,25,Salmon River,Secesh River,SFSEC-s
SFG,1,SFG,150,GRA,25,Salmon River,South Fork Salmon River,SFMAI-s
ZEN,2,ZEN_D,151,SFG,1,Salmon River,Secesh River,SFSEC-s
ZEN,2,ZEN_U,152,SFG,1,Salmon River,Secesh River,SFSEC-s
KRS,2,KRS_D,153,SFG,2,Salmon River,South Fork Salmon River,SFMAI-s
KRS,2,KRS_U,154,SFG,2,Salmon River,South Fork Salmon River,SFMAI-s
ESS,2,ESS_D,155,SFG,3,Salmon River,South Fork Salmon River,SFMAI-s
ESS,2,ESS_U,156,SFG,3,Salmon River,South Fork Salmon River,SFMAI-s
JOHNSC,1,JOHNSC,157,ESS,1,Salmon River,South Fork Salmon River,SFMAI-s
YPP,2,YPP_D,158,ESS,2,Salmon River,South Fork Salmon River,SFMAI-s
YPP,2,YPP_U,159,ESS,2,Salmon River,South Fork Salmon River,SFMAI-s
SALSFW,1,SALSFW,160,STR,1,Salmon River,South Fork Salmon River,SFMAI-s
STR,1,STR,161,KRS,1,Salmon River,South Fork Salmon River,SFMAI-s
TAY,2,TAY_D,162,GRA,27,Salmon River,"Big, Camas, and Loon Creek",MFBIG-s
TAY,2,TAY_U,163,GRA,27,Salmon River,"Big, Camas, and Loon Creek",MFBIG-s
MAR,2,MAR_D,164,GRA,33,Salmon River,Middle Fork Salmon River upper mainstem,MFUMA-s
MAR,2,MAR_U,165,GRA,33,Salmon River,Middle Fork Salmon River upper mainstem,MFUMA-s
BRC,1,BRC,166,GRA,32,Salmon River,Middle Fork Salmon River upper mainstem,MFUMA-s
PCA,2,PCA_D,167,GRA,26,Salmon River,Panther Creek,SRPAN-s
PCA,2,PCA_U,168,GRA,26,Salmon River,Panther Creek,SRPAN-s
NFS,2,NFS_D,169,GRA,28,Salmon River,North Fork Salmon River,SRNFS-s
NFS,2,NFS_U,170,GRA,28,Salmon River,North Fork Salmon River,SRNFS-s
CRC,3,CRC_D,171,GRA,29,Salmon River,Lemhi River,SRLEM-s
CRC,3,CRC_M,172,GRA,29,Salmon River,Lemhi River,SRLEM-s
CRC,3,CRC_U,173,GRA,29,Salmon River,Lemhi River,SRLEM-s
LLR,2,LLR_D,174,GRA,30,Salmon River,Lemhi River,SRLEM-s
LLR,2,LLR_U,175,GRA,30,Salmon River,Lemhi River,SRLEM-s
EVL,2,EVL_D,176,LLR,1,Salmon River,Lemhi River,SRLEM-s
EVL,2,EVL_U,177,LLR,1,Salmon River,Lemhi River,SRLEM-s
BHC,3,BHC_D,178,EVL,1,Salmon River,Lemhi River,SRLEM-s
BHC,3,BHC_M,179,EVL,1,Salmon River,Lemhi River,SRLEM-s
BHC,3,BHC_U,180,EVL,1,Salmon River,Lemhi River,SRLEM-s
EVU,2,EVU_D,181,EVL,2,Salmon River,Lemhi River,SRLEM-s
EVU,2,EVU_U,182,EVL,2,Salmon River,Lemhi River,SRLEM-s
WPC,3,WPC_D,183,EVU,1,Salmon River,Lemhi River,SRLEM-s
WPC,3,WPC_M,184,EVU,1,Salmon River,Lemhi River,SRLEM-s
WPC,3,WPC_U,185,EVU,1,Salmon River,Lemhi River,SRLEM-s
KEN,2,KEN_D,186,EVU,2,Salmon River,Lemhi River,SRLEM-s
KEN,2,KEN_U,187,EVU,2,Salmon River,Lemhi River,SRLEM-s
AGC,3,AGC_D,188,EVU,3,Salmon River,Lemhi River,SRLEM-s
AGC,3,AGC_M,189,EVU,3,Salmon River,Lemhi River,SRLEM-s
AGC,3,AGC_U,190,EVU,3,Salmon River,Lemhi River,SRLEM-s
HYC,2,HYC_D,191,EVU,4,Salmon River,Lemhi River,SRLEM-s
HYC,2,HYC_U,192,EVU,4,Salmon River,Lemhi River,SRLEM-s
LRW,2,LRW_D,193,EVU,5,Salmon River,Lemhi River,SRLEM-s
LRW,2,LRW_U,194,EVU,5,Salmon River,Lemhi River,SRLEM-s
LLS,2,LLS_D,195,LRW,1,Salmon River,Lemhi River,SRLEM-s
LLS,2,LLS_U,196,LRW,1,Salmon River,Lemhi River,SRLEM-s
LB8,2,LB8_D,197,LRW,2,Salmon River,Lemhi River,SRLEM-s
