"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"LB8","GRA.Salmon.Lemhi.LLR.LRW.LB8","GRA","Salmon","Lemhi","LLR","LRW","LB8","","","","",""
"LBS","GRA.Salmon.Lemhi.LLR.LRW.LBS","GRA","Salmon","Lemhi","LLR","LRW","LBS","","","","",""
"CAC","GRA.Salmon.Lemhi.LLR.LRW.CAC","GRA","Salmon","Lemhi","LLR","LRW","CAC","","","","",""
"18M","GRA.Salmon.Lemhi.LLR.LRW.18M","GRA","Salmon","Lemhi","LLR","LRW","18M","","","","",""
"HEC","GRA.Salmon.Lemhi.LLR.LRW.HEC","GRA","Salmon","Lemhi","LLR","LRW","HEC","","","","",""
"USE","GRA.Salmon.UpperSalmon.USE","GRA","Salmon","UpperSalmon","USE","","","","","","",""
"USI","GRA.Salmon.UpperSalmon.USE.USI","GRA","Salmon","UpperSalmon","USE","USI","","","","","",""
"VC2","GRA.Salmon.UpperSalmon.USE.USI.VC2","GRA","Salmon","UpperSalmon","USE","USI","VC2","","","","",""
"VC1","GRA.Salmon.UpperSalmon.USE.USI.VC2.VC1","GRA","Salmon","UpperSalmon","USE","USI","VC2","VC1","","","",""
"YFK","GRA.Salmon.UpperSalmon.USE.USI.YFK","GRA","Salmon","UpperSalmon","USE","USI","YFK","","","","",""
"STL","GRA.Salmon.UpperSalmon.USE.USI.STL","GRA","Salmon","UpperSalmon","USE","USI","STL","","","","",""
"SALEFT","GRA.Salmon.UpperSalmon.USE.USI.SALEFT","GRA","Salmon","UpperSalmon","USE","USI","SALEFT","","","","",""
"PAHH","GRA.Salmon.UpperSalmon.USE.USI.PAHH","GRA","Salmon","UpperSalmon","USE","USI","PAHH","","","","",""
